"GEOID","race","agecat","sex","acs.pop"
"25017341200","total","Age15-19","Female",597
"25017341200","total","Age15-19","Male",530
"25017341200","total","Age20-24","Female",2038
"25017341200","total","Age20-24","Male",1794
"25017341200","total","Age25-29","Female",2125
"25017341200","total","Age25-29","Male",1232
"25017341200","total","Age30-34","Female",1711
"25017341200","total","Age30-34","Male",1053
"25017341200","total","Age35-44","Female",2746
"25017341200","total","Age35-44","Male",2967
"25017341200","total","Age45-54","Female",1577
"25017341200","total","Age45-54","Male",1495
"25017341200","total","Age5-9","Female",859
"25017341200","total","Age5-9","Male",1323
"25017341200","total","Age55-64","Female",2718
"25017341200","total","Age55-64","Male",2442
"25017341200","total","Age65-74","Female",1251
"25017341200","total","Age65-74","Male",1032
"25017341200","total","Age75-84","Female",912
"25017341200","total","Age75-84","Male",465
"25017341200","total","Age85+","Female",737
"25017341200","total","Age85+","Male",484
"25017341300","total","Age0-4","Female",598
"25017341300","total","Age0-4","Male",729
"25017341300","total","Age10-14","Female",874
"25017341300","total","Age10-14","Male",104
"25017341300","total","Age15-19","Female",166
"25017341300","total","Age15-19","Male",316
"25017341300","total","Age20-24","Female",1654
"25017341300","total","Age20-24","Male",1036
"25017341300","total","Age25-29","Female",2220
"25017341300","total","Age25-29","Male",2397
"25017341300","total","Age30-34","Female",1468
"25017341300","total","Age30-34","Male",1569
"25017341300","total","Age35-44","Female",1568
"25017341300","total","Age35-44","Male",2104
"25017341300","total","Age45-54","Female",1581
"25017341300","total","Age45-54","Male",1776
"25017341300","total","Age5-9","Female",624
"25017341300","total","Age5-9","Male",333
"25017341300","total","Age55-64","Female",842
"25017341300","total","Age55-64","Male",886
"25017341300","total","Age65-74","Female",1428
"25017341300","total","Age65-74","Male",617
"25017341300","total","Age75-84","Female",830
"25017341300","total","Age75-84","Male",199
"25017341300","total","Age85+","Female",500
"25017341300","total","Age85+","Male",88
"25017341400","total","Age0-4","Female",904
"25017341400","total","Age0-4","Male",685
"25017341400","total","Age10-14","Female",499
"25017341400","total","Age10-14","Male",1687
"25017341400","total","Age15-19","Female",230
"25017341400","total","Age15-19","Male",263
"25017341400","total","Age20-24","Female",1354
"25017341400","total","Age20-24","Male",1596
"25017341400","total","Age25-29","Female",1993
"25017341400","total","Age25-29","Male",1780
"25017341400","total","Age30-34","Female",1532
"25017341400","total","Age30-34","Male",1357
"25017341400","total","Age35-44","Female",2264
"25017341400","total","Age35-44","Male",2613
"25017341400","total","Age45-54","Female",1997
"25017341400","total","Age45-54","Male",2066
"25017341400","total","Age5-9","Female",811
"25017341400","total","Age5-9","Male",1335
"25017341400","total","Age55-64","Female",1639
"25017341400","total","Age55-64","Male",2253
"25017341400","total","Age65-74","Female",825
"25017341400","total","Age65-74","Male",1040
"25017341400","total","Age75-84","Female",670
"25017341400","total","Age75-84","Male",619
"25017341400","total","Age85+","Female",449
"25017341400","total","Age85+","Male",28
"25017341500","total","Age0-4","Female",905
"25017341500","total","Age0-4","Male",1085
"25017341500","total","Age10-14","Female",795
"25017341500","total","Age10-14","Male",869
"25017341500","total","Age15-19","Female",627
"25017341500","total","Age15-19","Male",632
"25017341500","total","Age20-24","Female",1801
"25017341500","total","Age20-24","Male",1531
"25017341500","total","Age25-29","Female",1355
"25017341500","total","Age25-29","Male",1622
"25017341500","total","Age30-34","Female",1560
"25017341500","total","Age30-34","Male",1442
"25017341500","total","Age35-44","Female",2102
"25017341500","total","Age35-44","Male",1837
"25017341500","total","Age45-54","Female",1746
"25017341500","total","Age45-54","Male",1751
"25017341500","total","Age5-9","Female",892
"25017341500","total","Age5-9","Male",981
"25017341500","total","Age55-64","Female",1624
"25017341500","total","Age55-64","Male",1087
"25017341500","total","Age65-74","Female",801
"25017341500","total","Age65-74","Male",401
"25017341500","total","Age75-84","Female",494
"25017341500","total","Age75-84","Male",236
"25017341500","total","Age85+","Female",164
"25017341500","total","Age85+","Male",0
"25017341600","total","Age0-4","Female",714
"25017341600","total","Age0-4","Male",309
"25017341600","total","Age10-14","Female",393
"25017341600","total","Age10-14","Male",580
"25017341600","total","Age15-19","Female",1536
"25017341600","total","Age15-19","Male",432
"25017341600","total","Age20-24","Female",898
"25017341600","total","Age20-24","Male",1203
"25017341600","total","Age25-29","Female",1381
"25017341600","total","Age25-29","Male",1651
"25017341600","total","Age30-34","Female",1770
"25017341600","total","Age30-34","Male",1275
"25017341600","total","Age35-44","Female",1567
"25017341600","total","Age35-44","Male",2273
"25017341600","total","Age45-54","Female",3416
"25017341600","total","Age45-54","Male",2124
"25017341600","total","Age5-9","Female",957
"25017341600","total","Age5-9","Male",1008
"25017341600","total","Age55-64","Female",1896
"25017341600","total","Age55-64","Male",2325
"25017341600","total","Age65-74","Female",1200
"25017341600","total","Age65-74","Male",1030
"25017341600","total","Age75-84","Female",565
"25017341600","total","Age75-84","Male",570
"25017341600","total","Age85+","Female",329
"25017341600","total","Age85+","Male",133
"25017341700","total","Age0-4","Female",704
"25017341700","total","Age0-4","Male",412
"25017341700","total","Age10-14","Female",1210
"25017341700","total","Age10-14","Male",815
"25017341700","total","Age15-19","Female",606
"25017341700","total","Age15-19","Male",991
"25017341700","total","Age20-24","Female",697
"25017341700","total","Age20-24","Male",825
"25017341700","total","Age25-29","Female",958
"25017341700","total","Age25-29","Male",622
"25017341700","total","Age30-34","Female",955
"25017341700","total","Age30-34","Male",719
"25017341700","total","Age35-44","Female",1917
"25017341700","total","Age35-44","Male",1596
"25017341700","total","Age45-54","Female",2371
"25017341700","total","Age45-54","Male",2045
"25017341700","total","Age5-9","Female",969
"25017341700","total","Age5-9","Male",969
"25017341700","total","Age55-64","Female",1309
"25017341700","total","Age55-64","Male",1684
"25017341700","total","Age65-74","Female",1526
"25017341700","total","Age65-74","Male",844
"25017341700","total","Age75-84","Female",941
"25017341700","total","Age75-84","Male",432
"25017341700","total","Age85+","Female",540
"25017341700","total","Age85+","Male",37
"25017341800","total","Age0-4","Female",958
"25017341800","total","Age0-4","Male",1750
"25017341800","total","Age10-14","Female",599
"25017341800","total","Age10-14","Male",1130
"25017341800","total","Age15-19","Female",697
"25017341800","total","Age15-19","Male",899
"25017341800","total","Age20-24","Female",800
"25017341800","total","Age20-24","Male",1248
"25017341800","total","Age25-29","Female",1233
"25017341800","total","Age25-29","Male",1439
"25017341800","total","Age30-34","Female",1769
"25017341800","total","Age30-34","Male",1285
"25017341800","total","Age35-44","Female",2364
"25017341800","total","Age35-44","Male",2746
"25017341800","total","Age45-54","Female",2336
"25017341800","total","Age45-54","Male",1744
"25017341800","total","Age5-9","Female",1251
"25017341800","total","Age5-9","Male",727
"25017341800","total","Age55-64","Female",1729
"25017341800","total","Age55-64","Male",1519
"25017341800","total","Age65-74","Female",996
"25017341800","total","Age65-74","Male",910
"25017341800","total","Age75-84","Female",1025
"25017341800","total","Age75-84","Male",955
"25017341800","total","Age85+","Female",149
"25017341800","total","Age85+","Male",26
"25017341901","total","Age0-4","Female",89
"25017341901","total","Age0-4","Male",323
"25017341901","total","Age10-14","Female",344
"25017341901","total","Age10-14","Male",268
"25017341901","total","Age15-19","Female",145
"25017341901","total","Age15-19","Male",95
"25017341901","total","Age20-24","Female",289
"25017341901","total","Age20-24","Male",266
"25017341901","total","Age25-29","Female",346
"25017341901","total","Age25-29","Male",183
"25017341901","total","Age30-34","Female",164
"25017341901","total","Age30-34","Male",239
"25017341901","total","Age35-44","Female",720
"25017341901","total","Age35-44","Male",520
"25017341901","total","Age45-54","Female",351
"25017341901","total","Age45-54","Male",565
"25017341901","total","Age5-9","Female",283
"25017341901","total","Age5-9","Male",207
"25017341901","total","Age55-64","Female",452
"25017341901","total","Age55-64","Male",312
"25017341901","total","Age65-74","Female",171
"25017341901","total","Age65-74","Male",131
"25017341901","total","Age75-84","Female",319
"25017341901","total","Age75-84","Male",98
"25017341901","total","Age85+","Female",41
"25017341901","total","Age85+","Male",125
"25017341902","total","Age0-4","Female",1710
"25017341902","total","Age0-4","Male",1275
"25017341902","total","Age10-14","Female",1300
"25017341902","total","Age10-14","Male",1777
"25017341902","total","Age15-19","Female",972
"25017341902","total","Age15-19","Male",548
"25017341902","total","Age20-24","Female",1075
"25017341902","total","Age20-24","Male",854
"25017341902","total","Age25-29","Female",3394
"25017341902","total","Age25-29","Male",2719
"25017341902","total","Age30-34","Female",2466
"25017341902","total","Age30-34","Male",2694
"25017341902","total","Age35-44","Female",3045
"25017341902","total","Age35-44","Male",2936
"25017341902","total","Age45-54","Female",3053
"25017341902","total","Age45-54","Male",2448
"25017341902","total","Age5-9","Female",1197
"25017341902","total","Age5-9","Male",1184
"25017341902","total","Age55-64","Female",2788
"25017341902","total","Age55-64","Male",1653
"25017341902","total","Age65-74","Female",1097
"25017341902","total","Age65-74","Male",1035
"25017341902","total","Age75-84","Female",656
"25017341902","total","Age75-84","Male",395
"25017341902","total","Age85+","Female",594
"25017341902","total","Age85+","Male",292
"25017342101","total","Age0-4","Female",766
"25017342101","total","Age0-4","Male",691
"25017342101","total","Age10-14","Female",823
"25017342101","total","Age10-14","Male",551
"25017342101","total","Age15-19","Female",762
"25017342101","total","Age15-19","Male",926
"25017342101","total","Age20-24","Female",1054
"25017342101","total","Age20-24","Male",792
"25017342101","total","Age25-29","Female",1143
"25017342101","total","Age25-29","Male",1189
"25017342101","total","Age30-34","Female",1260
"25017342101","total","Age30-34","Male",311
"25017342101","total","Age35-44","Female",1985
"25017342101","total","Age35-44","Male",1057
"25017342101","total","Age45-54","Female",1660
"25017342101","total","Age45-54","Male",1817
"25017342101","total","Age5-9","Female",484
"25017342101","total","Age5-9","Male",1208
"25017342101","total","Age55-64","Female",1359
"25017342101","total","Age55-64","Male",1172
"25017342101","total","Age65-74","Female",672
"25017342101","total","Age65-74","Male",858
"25017342101","total","Age75-84","Female",604
"25017342101","total","Age75-84","Male",378
"25017342101","total","Age85+","Female",394
"25017342101","total","Age85+","Male",112
"25017342102","total","Age0-4","Female",246
"25017342102","total","Age0-4","Male",470
"25017342102","total","Age10-14","Female",1165
"25017342102","total","Age10-14","Male",497
"25017342102","total","Age15-19","Female",819
"25017342102","total","Age15-19","Male",518
"25017342102","total","Age20-24","Female",668
"25017342102","total","Age20-24","Male",749
"25017342102","total","Age25-29","Female",757
"25017342102","total","Age25-29","Male",325
"25017342102","total","Age30-34","Female",751
"25017342102","total","Age30-34","Male",167
"25017342102","total","Age35-44","Female",1147
"25017342102","total","Age35-44","Male",1391
"25017342102","total","Age45-54","Female",1611
"25017342102","total","Age45-54","Male",1076
"25017342102","total","Age5-9","Female",381
"25017342102","total","Age5-9","Male",679
"25017342102","total","Age55-64","Female",1273
"25017342102","total","Age55-64","Male",1287
"25017342102","total","Age65-74","Female",934
"25017342102","total","Age65-74","Male",627
"25017342102","total","Age75-84","Female",360
"25017342102","total","Age75-84","Male",389
"25017342102","total","Age85+","Female",372
"25017342102","total","Age85+","Male",192
"25017342201","total","Age0-4","Female",704
"25017342201","total","Age0-4","Male",863
"25017342201","total","Age10-14","Female",1216
"25017342201","total","Age10-14","Male",584
"25017342201","total","Age15-19","Female",495
"25017342201","total","Age15-19","Male",1047
"25017342201","total","Age20-24","Female",347
"25017342201","total","Age20-24","Male",980
"25017342201","total","Age25-29","Female",877
"25017342201","total","Age25-29","Male",1385
"25017342201","total","Age30-34","Female",651
"25017342201","total","Age30-34","Male",1339
"25017342201","total","Age35-44","Female",2022
"25017342201","total","Age35-44","Male",2097
"25017342201","total","Age45-54","Female",1950
"25017342201","total","Age45-54","Male",1697
"25017342201","total","Age5-9","Female",570
"25017342201","total","Age5-9","Male",652
"25017342201","total","Age55-64","Female",1183
"25017342201","total","Age55-64","Male",1251
"25017342201","total","Age65-74","Female",952
"25017342201","total","Age65-74","Male",521
"25017342201","total","Age75-84","Female",441
"25017342201","total","Age75-84","Male",379
"25017342201","total","Age85+","Female",332
"25017342201","total","Age85+","Male",65
"25017342202","total","Age0-4","Female",751
"25017342202","total","Age0-4","Male",773
"25017342202","total","Age10-14","Female",485
"25017342202","total","Age10-14","Male",519
"25017342202","total","Age15-19","Female",688
"25017342202","total","Age15-19","Male",966
"25017342202","total","Age20-24","Female",916
"25017342202","total","Age20-24","Male",654
"25017342202","total","Age25-29","Female",581
"25017342202","total","Age25-29","Male",546
"25017342202","total","Age30-34","Female",752
"25017342202","total","Age30-34","Male",858
"25017342202","total","Age35-44","Female",1582
"25017342202","total","Age35-44","Male",999
"25017342202","total","Age45-54","Female",1612
"25017342202","total","Age45-54","Male",1100
"25017342202","total","Age5-9","Female",1195
"25017342202","total","Age5-9","Male",472
"25017342202","total","Age55-64","Female",1060
"25017342202","total","Age55-64","Male",1127
"25017342202","total","Age65-74","Female",937
"25017342202","total","Age65-74","Male",802
"25017342202","total","Age75-84","Female",423
"25017342202","total","Age75-84","Male",367
"25017342202","total","Age85+","Female",298
"25017342202","total","Age85+","Male",73
"25017342300","total","Age0-4","Female",1322
"25017342300","total","Age0-4","Male",434
"25017342300","total","Age10-14","Female",1336
"25017342300","total","Age10-14","Male",1584
"25017342300","total","Age15-19","Female",957
"25017342300","total","Age15-19","Male",860
"25017342300","total","Age20-24","Female",598
"25017342300","total","Age20-24","Male",1777
"25017342300","total","Age25-29","Female",1502
"25017342300","total","Age25-29","Male",2313
"25017342300","total","Age30-34","Female",1172
"25017342300","total","Age30-34","Male",1966
"25017342300","total","Age35-44","Female",3860
"25017342300","total","Age35-44","Male",2665
"25017342300","total","Age45-54","Female",2257
"25017342300","total","Age45-54","Male",2611
"25017342300","total","Age5-9","Female",1034
