"GEOID","agecat","sex","deaths","expected"
"25017340100","Age20-24","Female",1,0.697824075886914
"25017340100","Age20-24","Male",0,0.394087976740544
"25017340100","Age25-29","Female",1,0.891362268487695
"25017340100","Age25-29","Male",2,1.57087610545141
"25017340100","Age30-34","Female",2,1.13620512424703
"25017340100","Age30-34","Male",2,1.67434447106867
"25017340100","Age35-44","Female",1,3.56694022108539
"25017340100","Age35-44","Male",2,3.11684828104318
"25017340100","Age45-54","Female",6,8.69092700985975
"25017340100","Age45-54","Male",8,6.08207160617409
"25017340100","Age5-9","Female",1,0.0538024682192961
"25017340100","Age5-9","Male",0,0.0764964003117955
"25017340100","Age55-64","Female",12,21.0179558140042
"25017340100","Age55-64","Male",12,17.3408055834861
"25017340100","Age65-74","Female",19,25.6485532038272
"25017340100","Age65-74","Male",22,22.3323162724063
"25017340100","Age75-84","Female",43,42.0153266173955
"25017340100","Age75-84","Male",45,25.0170781747713
"25017340100","Age85+","Female",103,82.5054644562283
"25017340100","Age85+","Male",56,64.8654072408394
"25017341101","Age0-4","Female",0,0.345188857066866
"25017341101","Age0-4","Male",1,0.37022846327897
"25017341101","Age10-14","Female",0,0.0206063134919998
"25017341101","Age10-14","Male",0,0.0311020526070838
"25017341101","Age15-19","Female",0,0.113597990050262
"25017341101","Age15-19","Male",0,0.0865638529950312
"25017341101","Age20-24","Female",0,0.617724893622575
"25017341101","Age20-24","Male",1,0.633744730075443
"25017341101","Age25-29","Female",0,0.909349399466147
"25017341101","Age25-29","Male",0,1.56687896523398
"25017341101","Age30-34","Female",2,0.846161200124896
"25017341101","Age30-34","Male",1,1.01755079165161
"25017341101","Age35-44","Female",4,1.84030765928523
"25017341101","Age35-44","Male",1,2.19208600150252
"25017341101","Age45-54","Female",0,4.45114265368861
"25017341101","Age45-54","Male",4,3.51422602140972
"25017341101","Age5-9","Female",0,0.0372282481517405
"25017341101","Age5-9","Male",0,0.0254138041035854
"25017341101","Age55-64","Female",11,10.4494556910405
"25017341101","Age55-64","Male",4,10.1849125089888
"25017341101","Age65-74","Female",5,11.7113952893422
"25017341101","Age65-74","Male",9,8.79848447120222
"25017341101","Age75-84","Female",15,16.1211889406707
"25017341101","Age75-84","Male",10,15.1605999623405
"25017341101","Age85+","Female",27,20.9736113348324
"25017341101","Age85+","Male",13,9.16727382846981
"25017341102","Age0-4","Female",0,0.244136160568017
"25017341102","Age0-4","Male",1,0.25307887707234
"25017341102","Age10-14","Female",0,0.04544943910385
"25017341102","Age10-14","Male",0,0.0111697774068784
"25017341102","Age15-19","Female",0,0.138993694556691
"25017341102","Age15-19","Male",1,0.104586611031852
"25017341102","Age20-24","Female",1,0.553645547811105
"25017341102","Age20-24","Male",0,0.734990096457567
"25017341102","Age25-29","Female",0,1.35602981876435
"25017341102","Age25-29","Male",2,1.55288897447296
"25017341102","Age30-34","Female",0,1.28602120075639
"25017341102","Age30-34","Male",4,1.99555013910475
"25017341102","Age35-44","Female",1,1.26271527206382
"25017341102","Age35-44","Male",2,1.8049762100669
"25017341102","Age45-54","Female",8,5.55525316310818
"25017341102","Age45-54","Male",7,3.10097323074125
"25017341102","Age5-9","Female",0,0.0304285681240253
"25017341102","Age5-9","Male",0,0.00977454003984053
"25017341102","Age55-64","Female",10,9.27885211046188
"25017341102","Age55-64","Male",17,11.0777457484131
"25017341102","Age65-74","Female",8,13.3695137550526
"25017341102","Age65-74","Male",15,16.7006886906691
"25017341102","Age75-84","Female",9,31.1147299502581
"25017341102","Age75-84","Male",22,10.8170671907609
"25017341102","Age85+","Female",32,7.08380250381758
"25017341102","Age85+","Male",12,5.55592353240595
"25017341200","Age0-4","Female",0,0.954187851011259
"25017341200","Age0-4","Male",3,0.705580332191081
"25017341200","Age10-14","Female",1,0.106690632472597
"25017341200","Age10-14","Male",0,0.0993725024474009
"25017341200","Age15-19","Female",0,0.163024038605784
"25017341200","Age15-19","Male",2,0.144728208477497
"25017341200","Age20-24","Female",0,1.30593706763777
"25017341200","Age20-24","Male",0,1.14958346385778
"25017341200","Age25-29","Female",1,2.12348074051161
"25017341200","Age25-29","Male",2,1.23111918696955
"25017341200","Age30-34","Female",0,2.05068245526019
"25017341200","Age30-34","Male",1,1.26205062851489
"25017341200","Age35-44","Female",4,4.21826780667549
"25017341200","Age35-44","Male",1,4.55775694916467
"25017341200","Age45-54","Female",6,4.97480649529903
"25017341200","Age45-54","Male",8,4.7161291759493
"25017341200","Age5-9","Female",0,0.0730115642975915
"25017341200","Age5-9","Male",0,0.112449708458339
"25017341200","Age55-64","Female",15,17.9757092204101
"25017341200","Age55-64","Male",16,16.1503612642537
"25017341200","Age65-74","Female",18,18.6874432486825
"25017341200","Age65-74","Male",18,15.4160203298484
"25017341200","Age75-84","Female",31,38.0894412276985
"25017341200","Age75-84","Male",35,19.4206032575437
"25017341200","Age85+","Female",70,102.36789108458
"25017341200","Age85+","Male",38,67.2266747421119
"25017341300","Age0-4","Female",0,0.534774446958513
"25017341300","Age0-4","Male",4,0.651924033165143
"25017341300","Age10-14","Female",0,0.0841584952897562
"25017341300","Age10-14","Male",0,0.0100142831923737
"25017341300","Age15-19","Female",1,0.0453299671835179
"25017341300","Age15-19","Male",0,0.0862907809035642
"25017341300","Age20-24","Female",1,1.05987237972172
"25017341300","Age20-24","Male",0,0.663862022606834
"25017341300","Age25-29","Female",0,2.21841282067565
"25017341300","Age25-29","Male",0,2.39528627529709
"25017341300","Age30-34","Female",1,1.75944000252599
"25017341300","Age30-34","Male",2,1.88049139234556
"25017341300","Age35-44","Female",3,2.40868314671055
"25017341300","Age35-44","Male",2,3.23205952849426
"25017341300","Age45-54","Female",7,4.98742490112097
"25017341300","Age45-54","Male",10,5.60257218494044
"25017341300","Age5-9","Female",0,0.0530375042161782
"25017341300","Age5-9","Male",0,0.0283036681153643
"25017341300","Age55-64","Female",10,5.56863398218738
"25017341300","Age55-64","Male",13,5.85963148244421
"25017341300","Age65-74","Female",14,21.3314699913018
"25017341300","Age65-74","Male",26,9.21674858867873
"25017341300","Age75-84","Female",16,34.6647326962607
"25017341300","Age75-84","Male",28,8.31118289946492
"25017341300","Age85+","Female",45,69.4490441550743
"25017341300","Age85+","Male",16,12.2230317712931
"25017341400","Age0-4","Female",1,0.808421571990795
"25017341400","Age0-4","Male",0,0.612576080546122
"25017341400","Age10-14","Female",0,0.0480493010864855
"25017341400","Age10-14","Male",0,0.162443228322447
"25017341400","Age15-19","Female",0,0.0628065810374044
"25017341400","Age15-19","Male",2,0.0718179600558145
"25017341400","Age20-24","Female",1,0.86763434228731
"25017341400","Age20-24","Male",2,1.02270635915107
"25017341400","Age25-29","Female",2,1.9915751133363
"25017341400","Age25-29","Male",1,1.77872739675796
"25017341400","Age30-34","Female",1,1.83614583369878
"25017341400","Age30-34","Male",1,1.62640332658567
"25017341400","Age35-44","Female",4,3.47784352305656
"25017341400","Age35-44","Male",4,4.01395986119558
"25017341400","Age45-54","Female",5,6.29973910660252
"25017341400","Age45-54","Male",18,6.51740660703094
"25017341400","Age5-9","Female",0,0.0689317562809623
"25017341400","Age5-9","Male",0,0.113469660462497
"25017341400","Age55-64","Female",14,10.8396568845667
"25017341400","Age55-64","Male",14,14.9003947290596
"25017341400","Age65-74","Female",10,12.3238534613613
"25017341400","Age65-74","Male",18,15.5355243634131
"25017341400","Age75-84","Female",23,27.9823745861382
"25017341400","Age75-84","Male",23,25.8523729385366
"25017341400","Age85+","Female",49,62.3652416512567
"25017341400","Age85+","Male",19,3.88914647268416
"25017341500","Age0-4","Female",1,0.809315843641228
"25017341500","Age0-4","Male",1,0.970284740719041
"25017341500","Age10-14","Female",0,0.0765514917109339
"25017341500","Age10-14","Male",0,0.0836770393670459
"25017341500","Age15-19","Female",0,0.171216201349794
"25017341500","Age15-19","Male",0,0.172581561807128
"25017341500","Age20-24","Female",0,1.15406901806458
"25017341500","Age20-24","Male",0,0.981054784373613
"25017341500","Age25-29","Female",0,1.35403124865564
"25017341500","Age25-29","Male",1,1.62084035816933
"25017341500","Age30-34","Female",2,1.86970463483688
"25017341500","Age30-34","Male",0,1.72827825861204
"25017341500","Age35-44","Female",0,3.22898722856223
"25017341500","Age35-44","Male",7,2.82190748756842
"25017341500","Age45-54","Female",4,5.50793414127591
"25017341500","Age45-54","Male",7,5.52370714855333
"25017341500","Age5-9","Female",0,0.0758164323090239
"25017341500","Age5-9","Male",1,0.0833810763398571
"25017341500","Age55-64","Female",5,10.7404531912973
"25017341500","Age55-64","Male",11,7.18896097225378
"25017341500","Age65-74","Female",10,11.9653413606672
"25017341500","Age65-74","Male",15,5.9901396824314
"25017341500","Age75-84","Female",10,20.6317806650034
"25017341500","Age75-84","Male",9,9.85647821243076
"25017341500","Age85+","Female",16,22.7792864828644
"25017341500","Age85+","Male",10,0
"25017341600","Age0-4","Female",0,0.638509958408659
"25017341600","Age0-4","Male",2,0.276329939983579
"25017341600","Age10-14","Female",0,0.0378424355250277
"25017341600","Age10-14","Male",0,0.055848887034392
"25017341600","Age15-19","Female",1,0.419438732493274
"25017341600","Age15-19","Male",0,0.117967143513733
"25017341600","Age20-24","Female",0,0.575432525387005
"25017341600","Age20-24","Male",2,0.77087453011199
"25017341600","Age25-29","Female",1,1.38001266006895
"25017341600","Age25-29","Male",1,1.64981962474572
"25017341600","Age30-34","Female",1,2.12139564337261
"25017341600","Age30-34","Male",0,1.52812398039553
"25017341600","Age35-44","Female",1,2.40714699674454
"25017341600","Age35-44","Male",3,3.49166887275069
"25017341600","Age45-54","Female",6,10.776118571935
"25017341600","Age45-54","Male",6,6.70037349144904
"25017341600","Age5-9","Female",0,0.0813411723315425
"25017341600","Age5-9","Male",0,0.0856759683492109
"25017341600","Age55-64","Female",11,12.5393468292486
"25017341600","Age55-64","Male",24,15.3765724567526
"25017341600","Age65-74","Female",15,17.9256050347074
"25017341600","Age65-74","Male",25,15.3861443214572
"25017341600","Age75-84","Female",28,23.5970770763703
"25017341600","Age75-84","Male",19,23.8059007673116
"25017341600","Age85+","Female",33,45.6974710540389
"25017341600","Age85+","Male",21,18.4734457452498
"25017341700","Age0-4","Female",0,0.629567241904336
"25017341700","Age0-4","Male",0,0.368439919978106
"25017341700","Age10-14","Female",0,0.116512333295887
"25017341700","Age10-14","Male",0,0.078477315401775
"25017341700","Age15-19","Female",1,0.165481687428987
"25017341700","Age15-19","Male",1,0.270614442643773
"25017341700","Age20-24","Female",0,0.446633040305949
"25017341700","Age20-24","Male",2,0.528654602944632
"25017341700","Age25-29","Female",0,0.95731508207535
"25017341700","Age25-29","Male",1,0.621555303810927
"25017341700","Age30-34","Female",0,1.14459482453155
"25017341700","Age30-34","Male",1,0.86174207208187
"25017341700","Age35-44","Female",3,2.94479948484957
"25017341700","Age35-44","Male",7,2.45169534575895
"25017341700","Age45-54","Female",5,7.47956005095371
"25017341700","Age45-54","Male",10,6.45115997646577
"25017341700","Age5-9","Female",0,0.0823611243356998
"25017341700","Age5-9","Male",0,0.0823611243356998
"25017341700","Age55-64","Female",20,8.65717563264048
"25017341700","Age55-64","Male",13,11.1372679643748
"25017341700","Age65-74","Female",16,22.7953944024696
"25017341700","Age65-74","Male",22,12.6076755410776
"25017341700","Age75-84","Female",40,39.3006186351583
"25017341700","Age75-84","Male",29,18.0423668973309
"25017341700","Age85+","Female",56,75.0049676874803
"25017341700","Age85+","Male",19,5.1392292674755
"25017341800","Age0-4","Female",4,0.856712241114139
"25017341800","Age0-4","Male",2,1.56497538825652
"25017341800","Age10-14","Female",0,0.057678419540691
"25017341800","Age10-14","Male",0,0.108809038532522
"25017341800","Age15-19","Female",1,0.190331247752482
"25017341800","Age15-19","Male",0,0.245491810228811
"25017341800","Age20-24","Female",0,0.512634766491764
"25017341800","Age20-24","Male",0,0.799710235727152
"25017341800","Age25-29","Female",1,1.23211847202391
"25017341800","Age25-29","Male",1,1.43797119322174
